Category,ID,Name,Household,1,2
A,79413,AARP / UHC,Household,Level 1,Level 2
A,96016,AARP of AZ,,,
A,60093,AARP of NY,,,
A,63444,Accendo,,,
A,22667,ACE / CHUBB,,,
A,50028,ACE / CHUBB,,,
A,20702,ACE / CHUBB,,,
A,26417,ACE / CHUBB,,,
A,60348,ACE / CHUBB,,,
A,20699,ACE / CHUBB,,,
A,12321,AETNA,,,
A,68500,AETNA,,,
A,72052,AETNA,,,
A,78700,AETNA,,,
A,60380,AFLAC,,,
A,82538,Allstate,roommate,wearable,dual
A,10345,Anthem,,,
A,28207,Anthem,,,
A,62825,Anthem BCBS,,,
A,95120,Anthem of KY,,,
A,52618,Anthem of ME,,,
A,71835,Anthem VA/NV,,,
A,96202,BCBS CareFirst,,,
A,53287,BCBS Highmark,,,
A,70670,BCBS IL/TX/NM/OK,,,
A,53589,BCBS of AZ,,,
A,61557,BCBS of CA,,,
A,98167,BCBS of FL,,,
A,60131,BCBS of ID,,,
A,47171,BCBS of KC,,,
A,53228,BCBS of MA,,,
A,95610,BCBS of MI,,,
A,55026,BCBS of MN,,,
A,54631,BCBS of NC,,,
A,77780,BCBS of NE,,,
A,54933,BCBS of OR,,,
A,54720,BCBS of PA,,,
A,53473,BCBS of RI,,,
A,38520,BCBS of SC,,,
A,54828,BCBS of WV,,,
A,47570,BCBS Premera,,,
A,53902,BCBS Regence,,,
B,61859,Christian Fidelity,,,
A,61727,CIGNA,hhd,Standard,
A,65722,CIGNA,Hhd,,
A,67369,CIGNA,hhd,,
A,88366,CIGNA,hhd,Standard,
B,63967,GPM,,,
B,67059,GPM,,,
B,64211,GTL,,,
B,66214,Heartland,,,
A,60219,Humana,,,
A,70580,Humana,,,
A,73288,Humana,,,
B,65870,Manhattan Life,,,
B,31119,Medico,,,
B,65641,Medico,,,
B,79987,Medico,,,
A,13100,Mutual of Omaha,,,
A,69868,Mutual of Omaha,,,
A,71412,Mutual of Omaha,,,
A,72850,Mutual of Omaha,,,
B,67326,Old Surety,,,
B,76112,Oxford,,,
B,68462,Reserve National,,,
B,68845,Shenandoah,,,
B,66281,Transamerica,,,
B,86231,Transamerica,,,
A,69663,USAA FOO FAA,,,
